Time start, Total time (seconds), Workout type, Time, Pulse
2/2/24 17:15,249,Koşmak,2/2/24 17:18,114
2/2/24 17:15,249,Koşmak,2/2/24 17:18,100
2/2/24 17:15,249,Koşmak,2/2/24 17:18,0
2/2/24 16:13,180,Koşmak,2/2/24 16:13,0
2/2/24 16:13,180,Koşmak,2/2/24 16:13,0
2/2/24 16:13,180,Koşmak,2/2/24 16:14,69
2/2/24 16:13,180,Koşmak,2/2/24 16:14,69
2/2/24 16:13,180,Koşmak,2/2/24 16:14,69
2/2/24 16:13,180,Koşmak,2/2/24 16:14,68
2/2/24 16:13,180,Koşmak,2/2/24 16:14,68
2/2/24 16:13,180,Koşmak,2/2/24 16:14,76
2/2/24 16:13,180,Koşmak,2/2/24 16:15,94
2/2/24 16:13,180,Koşmak,2/2/24 16:15,104
2/2/24 16:13,180,Koşmak,2/2/24 16:15,119
2/2/24 16:13,180,Koşmak,2/2/24 16:15,129
2/2/24 16:13,180,Koşmak,2/2/24 16:15,130
2/2/24 16:13,180,Koşmak,2/2/24 16:15,137
2/2/24 16:13,180,Koşmak,2/2/24 16:16,137
2/2/24 16:13,180,Koşmak,2/2/24 16:16,139
2/2/24 16:13,180,Koşmak,2/2/24 16:16,123
2/2/24 16:13,180,Koşmak,2/2/24 16:16,120
1/26/24 17:47,180,Koşmak,1/26/24 17:47,0
1/26/24 17:47,180,Koşmak,1/26/24 17:47,0
1/26/24 17:47,180,Koşmak,1/26/24 17:47,68
1/26/24 17:47,180,Koşmak,1/26/24 17:47,72
1/26/24 17:47,180,Koşmak,1/26/24 17:47,106
1/26/24 17:47,180,Koşmak,1/26/24 17:47,118
1/26/24 17:47,180,Koşmak,1/26/24 17:48,117
1/26/24 17:47,180,Koşmak,1/26/24 17:48,113
1/26/24 17:47,180,Koşmak,1/26/24 17:48,118
1/26/24 17:47,180,Koşmak,1/26/24 17:48,121
1/26/24 17:47,180,Koşmak,1/26/24 17:48,130
1/26/24 17:47,180,Koşmak,1/26/24 17:48,134
1/26/24 17:47,180,Koşmak,1/26/24 17:49,135
1/26/24 17:47,180,Koşmak,1/26/24 17:49,123
1/26/24 17:47,180,Koşmak,1/26/24 17:49,116
1/26/24 17:47,180,Koşmak,1/26/24 17:49,110
1/26/24 17:47,180,Koşmak,1/26/24 17:49,108
1/26/24 17:47,180,Koşmak,1/26/24 17:49,102
1/26/24 16:46,180,Koşmak,1/26/24 16:46,0
1/26/24 16:46,180,Koşmak,1/26/24 16:47,0
1/26/24 16:46,180,Koşmak,1/26/24 16:47,70
1/26/24 16:46,180,Koşmak,1/26/24 16:47,101
1/26/24 16:46,180,Koşmak,1/26/24 16:47,108
1/26/24 16:46,180,Koşmak,1/26/24 16:47,114
1/26/24 16:46,180,Koşmak,1/26/24 16:47,119
1/26/24 16:46,180,Koşmak,1/26/24 16:48,126
1/26/24 16:46,180,Koşmak,1/26/24 16:48,134
1/26/24 16:46,180,Koşmak,1/26/24 16:48,134
1/26/24 16:46,180,Koşmak,1/26/24 16:48,139
1/26/24 16:46,180,Koşmak,1/26/24 16:48,143
1/26/24 16:46,180,Koşmak,1/26/24 16:48,142
1/26/24 16:46,180,Koşmak,1/26/24 16:49,143
1/26/24 16:46,180,Koşmak,1/26/24 16:49,146
1/26/24 16:46,180,Koşmak,1/26/24 16:49,148
1/26/24 16:46,180,Koşmak,1/26/24 16:49,144
1/26/24 16:46,180,Koşmak,1/26/24 16:49,133
1/21/24 15:40,180,Koşmak,1/21/24 15:40,0
1/21/24 15:40,180,Koşmak,1/21/24 15:40,0
1/21/24 15:40,180,Koşmak,1/21/24 15:40,80
1/21/24 15:40,180,Koşmak,1/21/24 15:41,92
1/21/24 15:40,180,Koşmak,1/21/24 15:41,98
1/21/24 15:40,180,Koşmak,1/21/24 15:41,102
1/21/24 15:40,180,Koşmak,1/21/24 15:41,100
1/21/24 15:40,180,Koşmak,1/21/24 15:41,107
1/21/24 15:40,180,Koşmak,1/21/24 15:41,127
1/21/24 15:40,180,Koşmak,1/21/24 15:42,135
1/21/24 15:40,180,Koşmak,1/21/24 15:42,128
1/21/24 15:40,180,Koşmak,1/21/24 15:42,128
1/21/24 15:40,180,Koşmak,1/21/24 15:42,131
1/21/24 15:40,180,Koşmak,1/21/24 15:42,123
1/21/24 15:40,180,Koşmak,1/21/24 15:42,118
1/21/24 15:40,180,Koşmak,1/21/24 15:43,109
1/21/24 15:40,180,Koşmak,1/21/24 15:43,105
1/21/24 15:40,180,Koşmak,1/21/24 15:43,112
1/21/24 14:41,181,Koşmak,1/21/24 14:41,0
1/21/24 14:41,181,Koşmak,1/21/24 14:42,0
1/21/24 14:41,181,Koşmak,1/21/24 14:42,70
1/21/24 14:41,181,Koşmak,1/21/24 14:42,88
1/21/24 14:41,181,Koşmak,1/21/24 14:42,114
1/21/24 14:41,181,Koşmak,1/21/24 14:42,120
1/21/24 14:41,181,Koşmak,1/21/24 14:42,122
1/21/24 14:41,181,Koşmak,1/21/24 14:43,123
1/21/24 14:41,181,Koşmak,1/21/24 14:43,128
1/21/24 14:41,181,Koşmak,1/21/24 14:43,135
1/21/24 14:41,181,Koşmak,1/21/24 14:43,145
1/21/24 14:41,181,Koşmak,1/21/24 14:43,149
1/21/24 14:41,181,Koşmak,1/21/24 14:43,154
1/21/24 14:41,181,Koşmak,1/21/24 14:44,155
1/21/24 14:41,181,Koşmak,1/21/24 14:44,153
1/21/24 14:41,181,Koşmak,1/21/24 14:44,150
1/21/24 14:41,181,Koşmak,1/21/24 14:44,143
1/21/24 14:41,181,Koşmak,1/21/24 14:44,133
1/19/24 15:06,181,Koşmak,1/19/24 15:06,0
1/19/24 15:06,181,Koşmak,1/19/24 15:06,0
